seed,rms_roll,contact_loss,onset_time,synchrony,growth_ratio,rms_y
1001,19.368460680515074,0.32771260997067453,16.962,0.9874158672339656,1.0286293565708158,0.048894819084473684
1002,17.312929692775747,0.31378299120234604,26.697,0.9958961602464471,1.0260186461871843,0.04898226684915116
1003,18.487924397895483,0.31158357771260997,20.295,0.9992106392772042,1.0362977527825326,0.04883325084545782
1004,18.341033448686122,0.31158357771260997,21.648,0.99977458707323,1.0310487343936723,0.04892243793025102
1005,18.340406438046703,0.31341642228739003,21.615000000000002,0.9999004818062549,1.0337446934134207,0.048904994366067
1006,17.956988310777522,0.311950146627566,23.958000000000002,0.9997812104974353,1.0287920872862508,0.048974990567218685
1007,18.467952247471423,0.31121700879765396,20.229,0.9947073719922908,1.0364160530425233,0.048807679240768204
1008,15.541348667213015,0.2980205278592375,33.363,0.9777850108152008,1.024525756426637,0.04875721360782664
1009,17.416055942063565,0.3156158357771261,26.73,0.9999730553695687,1.0239414234949873,0.04907335084712981
1010,19.46481190101913,0.3255131964809384,16.962,0.991841568069756,1.0200635411510701,0.04902415872542098
1011,18.765847670536445,0.3185483870967742,16.962,0.9926204437625112,1.0408787364308274,0.0487518441244683
1012,18.172778296019303,0.3156158357771261,21.648,0.9894151327325017,1.0229754263387147,0.04898179401324485
1013,19.068124016629508,0.32331378299120234,16.962,0.9955656695062565,1.03411567175184,0.04887118929427597
1014,18.243336527826333,0.31341642228739003,21.747,0.9974694162170696,1.0333541506831092,0.048888521234433484
1015,18.816161721507203,0.3218475073313783,16.962,0.9891414343274973,1.0394437411425839,0.048749357919415696
1016,18.87298111302902,0.32111436950146627,16.962,0.9855630429579677,1.0367547560394417,0.04874186649776117
1017,17.154676300910744,0.3090175953079179,26.829,0.9855103987203762,1.0295475773749112,0.048816932788479386
1018,18.430484762428517,0.31708211143695014,21.153,0.9998179090426998,1.0307747389664557,0.04894626248737107
1019,18.43143643374826,0.3156158357771261,20.757,0.999629997756879,1.0357236515822734,0.04889896543660318
1020,17.653900974793753,0.3053519061583577,23.991,0.9791120910844056,1.0371327329122801,0.04861389396226811
1021,18.620985251889834,0.3148826979472141,17.556,0.9504979157500264,0.9933484148141023,0.04916695193485794
1022,17.85123254878316,0.31121700879765396,23.925,0.9944100930685897,1.0305990509184306,0.048881930943241204
1023,19.425795819902035,0.33027859237536655,16.962,0.9961012751359147,1.0287133896813254,0.04902813924463453
1024,18.344354308072536,0.31414956011730205,19.734,0.9771270512894487,1.0404924228140877,0.04863709118868119
1025,18.951234054634625,0.32111436950146627,16.962,0.9897974075216138,1.0324991110358248,0.04885175905382336
1026,18.598720451858952,0.31744868035190615,18.876,0.9895159184469189,1.0376041638773807,0.04877714756451566
1027,19.1203246458634,0.3262463343108504,16.962,0.9936454494756464,1.0314734417061806,0.04890193177289641
1028,19.058009064784446,0.32001466275659823,16.962,0.9982189761014469,1.0347447472552662,0.04891747033246963
1029,19.169323166654753,0.3258797653958944,16.962,0.9939414374861447,1.0305096170821195,0.04890003958277872
1030,18.33383054853224,0.3159824046920821,16.962,0.95737134545706,1.0499017108731006,0.048319143877923666
